gene,sample,n_regulators,n_well_populated_leaves,transferability,mean_abs_residual,sample_mean_r2
RBPJ,allograft_mt5,1,2,1.0,0.010297374729501138,0.25384168260020407
REST,allograft_mt5,3,8,0.15399484536082475,0.3585193000904827,0.25384168260020407
RORA_RORB,allograft_mt5,5,23,0.4582113821138211,0.2818506162154064,0.25384168260020407
RUNX1,allograft_mt5,7,53,0.5996615905245347,0.21954737020220885,0.25384168260020407
SIX1,allograft_mt5,5,28,0.15888456549935148,0.3213539107526149,0.25384168260020407
SIX4,allograft_mt5,8,67,0.5378368401624215,0.16037609867277408,0.25384168260020407
SMAD3,allograft_mt5,5,25,0.14267100977198696,0.45873105658558483,0.25384168260020407
SOX11,allograft_mt5,4,14,0.2641265741039716,0.36894546315854565,0.25384168260020407
SOX9,allograft_mt5,1,2,1.0,0.026327613818245853,0.25384168260020407
STAT1,allograft_mt5,1,2,1.0,0.03726792661991871,0.25384168260020407
STAT2,allograft_mt5,5,25,0.7987666342096722,0.08426272798357877,0.25384168260020407
TBX15,allograft_mt5,6,36,0.5480800787659993,0.16510824959939982,0.25384168260020407
TCF4,allograft_mt5,1,2,1.0,0.011116815385194653,0.25384168260020407
TCF7L1,allograft_mt5,6,45,0.5872911889944317,0.1743881182045621,0.25384168260020407
TCF7L2,allograft_mt5,5,26,0.39453125,0.38256891460747783,0.25384168260020407
TEAD1,allograft_mt5,6,44,0.7726072607260726,0.10339857787481224,0.25384168260020407
TFDP1,allograft_mt5,1,2,1.0,0.023116706281671347,0.25384168260020407
THRB,allograft_mt5,1,2,0.4900128865979381,0.22807165439555302,0.25384168260020407
ZBTB20,allograft_mt5,7,47,0.5176271186440679,0.15233096235986351,0.25384168260020407
ZEB1,allograft_mt5,1,2,1.0,0.03064350104870271,0.25384168260020407
ASCL1,allograft_2L,6,34,0.2,0.3938389137259981,0.2789601253201466
BACH1,allograft_2L,5,25,0.5037986704653371,0.17389661023490857,0.2789601253201466
BACH2,allograft_2L,3,8,0.3764705882352941,0.2707242653258083,0.2789601253201466
CREB1,allograft_2L,1,2,1.0,0.025460570174579523,0.2789601253201466
CUX2,allograft_2L,7,38,0.5099439061703213,0.19577614188491926,0.2789601253201466
EGR1,allograft_2L,7,38,0.4467108618052014,0.1834006197009295,0.2789601253201466
EHF,allograft_2L,2,4,0.33741176470588236,0.2526334173699058,0.2789601253201466
EPCAM,allograft_2L,6,31,0.28773125608568645,0.2935285426837185,0.2789601253201466
ESR1,allograft_2L,1,2,1.0,0.05195312198226147,0.2789601253201466
